topic_id,word,clue_tight,clue_standard,clue_loose,difficulty,region
aktor,Toni Gonzaga,"host ng talent show, kumakanta rin",isang babae na nagho-host,isang tao sa TV,3,national
aktor,Kris Aquino,"host na madaldal, anak ng pulitiko",isang sikat na babae sa TV,isang tao sa showbiz,3,national
aktor,Robin Padilla,"aksyon star, marami ang tattoo",isang lalaki sa aksyon na pelikula,isang artista,3,national
aktor,Fernando Poe Jr,hari ng aksyon noong unang panahon,isang matandang aktor sa aksyon,isang tao sa pelikula,4,national
aktor,Sharon Cuneta,"kumakanta at umaarte, tinaguriang megastar",isang matagal nang babaeng artista,isang tao sa showbiz,3,national
aktor,Liza Soberano,"aktres na kalahating dayuhan, kilala sa ganda",isang batang aktres,isang artista,3,national
aktor,Enrique Gil,aktor na kilala sa pagsayaw,isang lalaki sa isang loveteam,isang tao sa TV,4,national
aktor,Ai-Ai delas Alas,"komedyanteng babae, malakas ang boses",isang nakakatawang babae sa pelikula,isang tao sa showbiz,4,national
aktor,Eugene Domingo,komedyante sa indie at mainstream,isang nakakatawang aktres,isang artista,4,national
aktor,Jose Manalo,komedyante sa isang noontime show,isang lalaki na nagpapatawa sa TV,isang tao sa TV,4,national
aktor,Christopher de Leon,tinawag na Boyet at maraming parangal noon,lumang aktor na magaling umarte,isang artista noon,3,national
aktor,Gloria Romero,tinaguriang reyna ng pelikulang Pilipino,napakalumang babaeng artista,isang artista noon,4,national
aktor,Susan Roces,asawa ng Da King at tinawag na reyna,lumang babaeng artista na iginagalang,isang artista noon,3,national
aktor,Ronnie Ricketts,aksyon star na naging pinuno ng censors,lumang aktor ng barilan,isang artista noon,4,national
aktor,Lito Lapid,aksyon star na naging senador,aktor na naging pulitiko,isang artista,3,national
aktor,Bong Revilla,aksyon star na naging senador din,aktor na pumasok sa gobyerno,isang artista,3,national
aktor,Cesar Montano,gumanap bilang pambansang bayani sa pelikula,aktor na seryoso ang mga papel,isang artista,3,national
aktor,Richard Gomez,aktor na naging alkalde at espadista,aktor na atleta rin,isang artista,3,national
aktor,Dawn Zulueta,kapareha ni Richard sa maraming pelikula,babaeng artista na mestiza,isang artista,3,national
aktor,Claudine Barretto,kilala sa eksenang umiiyak sa dagat,babaeng artista na madramang,isang artista,3,national
aktor,Gretchen Barretto,ate na kilala sa dramang pampamilya,babaeng artista na maraming isyu,isang artista,4,national
aktor,Rustom Padilla,naging BB Gandanghari matapos maglahad,artista na nagbago ng pagkakakilanlan,isang artista,4,national
aktor,Boy Abunda,tinatawag na King of Talk sa panayam,tagapagbalita at tagapanayam,isang host,2,national
aktor,Willie Revillame,host na namimigay ng pera sa palabas,host ng game show,isang host,2,national
aktor,Joey de Leon,isa sa tatlong lalaki sa noontime show,host na nagpapatawa,isang host,2,national
aktor,Tito Sotto,host na naging senador at may kapatid na host,host na pumasok sa gobyerno,isang host,3,national
aktor,Vic Sotto,host na kilala sa Enteng Kabisote,host na may pelikula tuwing Pasko,isang host,2,national
aktor,Ryzza Mae Dizon,batang host na kaparehang matanda sa palabas,batang naging sikat sa TV,isang artista,4,national
aktor,Jose Marie Chan,kumakanta tuwing Setyembre pero artista rin,taong naaalala tuwing Pasko,isang artista,3,national
aktor,Pokwang,komedyanteng babae na malakas ang boses,babaeng nagpapatawa sa TV,isang komedyante,3,national
aktor,Michael V,gumagaya sa gabi-gabing palabas ng komedya,komedyante na maraming karakter,isang komedyante,2,national
aktor,Ogie Diaz,talent manager na nagsasalita tungkol sa showbiz,taong nagbabalita ng tsismis,isang tao sa showbiz,4,national
aktor,Jake Cuenca,aktor na madalas kontrabida sa serye,binatang artista na matipuno,isang artista,4,national
aktor,Piolo Pascual Jr,anak na artista rin na tinatawag na Inigo,anak ng sikat na artista,isang artista,4,national
aktor,Kim Chiu,kilala sa linyang tungkol sa mansanas at bato,babaeng artista mula sa Cebu,isang artista,2,national
aktor,Gerald Anderson,binata na maraming loveteam sa nakaraan,binatang artista na moreno,isang artista,3,national
aktor,Xian Lim,binatang artista na marunong sumayaw at gumuhit,binatang artista na mestizo,isang artista,4,national
aktor,Julia Montes,kambal ang papel sa isang sikat na serye,babaeng artista na madrama,isang artista,4,national
aktor,Donny Pangilinan,binata sa seryeng may pantasyang paaralan,bagong binatang artista,isang artista,3,national
aktor,Belle Mariano,kapareha sa seryeng may pantasyang paaralan,bagong babaeng artista,isang artista,3,national
